2017-02-13 23:52:20,756 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DistributedSystems:DistributedSystems:0.0.1-SNAPSHOT @ /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/pom.xml.
2017-02-13 23:52:22,300 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:52:22,302 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/main/resources
2017-02-13 23:52:22,305 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-13 23:52:22,305 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/src/test/resources
2017-02-13 23:52:22,348 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DistributedSystems/src
2017-02-13 23:52:22,349 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /DistributedSystems/src/test/java because it overlaps with /DistributedSystems/src
2017-02-13 23:52:22,591 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-02-13 23:52:23,009 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DistributedSystems:DistributedSystems:0.0.1-SNAPSHOT @ /Users/liushiyao/Documents/workspace/DistributedSystemInJava/DistributedSystems/pom.xml.
2017-02-13 23:52:23,272 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DistributedSystems/src
2017-02-13 23:52:23,274 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /DistributedSystems/src/test/java because it overlaps with /DistributedSystems/src
2017-02-13 23:52:23,381 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
